NumDrones,MaxTime,MinTime,AverageTime,PrintTime,BubbleSortTime
100,0,0,0,0,0
200,0,0,0,0,0
300,0,0,0,0,0
400,0,0,0,0,0.02
500,0.01,0,0,0,0.02
600,0,0,0,0,0.02
700,0,0,0,0,0.06
800,0,0,0,0,0.07
900,0,0,0,0,0.06
1000,0,0,0.01,0,0.1
1100,0,0,0.01,0,0.07
1200,0,0,0,0,0.08
1300,0,0,0.01,0,0.11
1400,0,0,0.01,0,0.11
1500,0,0,0.01,0,0.13
1600,0,0,0.01,0,0.17
1700,0,0,0.01,0,0.16
1800,0,0,0.01,0,0.18
1900,0,0,0.01,0,0.21
2000,0,0,0.01,0,0.28
2100,0.01,0.01,0.02,0,0.29
2200,0,0,0.01,0,0.3
2300,0,0,0.01,0,0.32
2400,0,0,0.01,0,0.36
2500,0,0.01,0.02,0,0.38
2600,0,0,0.02,0,0.47
2700,0,0,0.02,0,0.49
2800,0.01,0.01,0.02,0,0.47
2900,0.01,0,0.02,0,0.53
3000,0,0,0.02,0,0.58
3100,0,0,0.02,0,0.58
3200,0.01,0.01,0.02,0,0.75
3300,0.01,0.01,0.02,0,0.68
3400,0.01,0.01,0.02,0,0.75
3500,0.01,0.01,0.02,0,0.78
3600,0.01,0.01,0.02,0,0.86
3700,0.01,0.01,0.03,0,0.86
3800,0.01,0.01,0.02,0,0.91
3900,0.01,0.01,0.02,0,0.98
4000,0.01,0.01,0.03,0,1.02
4100,0.01,0.01,0.03,0,1.21
4200,0.01,0.01,0.03,0,1.41
4300,0.01,0.01,0.04,0,1.39
4400,0.01,0.01,0.03,0,1.35
4500,0.01,0.01,0.03,0,1.38
4600,0.01,0.01,0.04,0,1.74
4700,0.01,0.01,0.03,0,1.46
4800,0.01,0.01,0.03,0,1.52
4900,0.01,0.01,0.04,0,2.23
5000,0.01,0.01,0.03,0,1.67
5100,0.01,0.01,0.04,0,1.88
5200,0.02,0.02,0.05,0,1.89
5300,0.03,0.02,0.05,0,2.05
5400,0.01,0.01,0.04,0,2.07
5500,0.01,0.01,0.04,0,2.02
5600,0.01,0.02,0.04,0,2.1
5700,0.01,0.01,0.04,0,2.16
5800,0.02,0.01,0.04,0,2.26
5900,0.02,0.01,0.06,0,2.67
6000,0.02,0.02,0.04,0,2.49
6100,0.01,0.01,0.04,0,2.5
6200,0.02,0.05,0.09,0,2.58
6300,0.03,0.02,0.05,0,2.61
6400,0.02,0.02,0.04,0,2.81
6500,0.02,0.02,0.05,0,2.75
6600,0.02,0.02,0.05,0,2.89
6700,0.02,0.02,0.08,0,2.98
6800,0.02,0.02,0.05,0,3.05
6900,0.02,0.02,0.05,0,3.62
7000,0.02,0.02,0.05,0,3.51
7100,0.02,0.02,0.05,0,3.43
7200,0.02,0.02,0.06,0,3.79
7300,0.02,0.02,0.05,0,3.76
7400,0.02,0.02,0.05,0,3.96
7500,0.02,0.03,0.06,0,4.09
7600,0.02,0.02,0.05,0,4.06
7700,0.03,0.03,0.07,0,4.91
7800,0.02,0.02,0.06,0,4.32
7900,0.02,0.02,0.06,0,4.57
8000,0.03,0.03,0.08,0,4.58
8100,0.02,0.03,0.09,0,4.72
8200,0.03,0.03,0.08,0,4.66
8300,0.03,0.05,0.09,0,5.52
8400,0.02,0.03,0.08,0,4.81
8500,0.02,0.02,0.06,0,5.04
8600,0.02,0.02,0.06,0,5.26
8700,0.02,0.02,0.09,0,5.37
8800,0.03,0.02,0.09,0,5.34
8900,0.02,0.03,0.1,0,6.34
9000,0.04,0.02,0.07,0,5.51
9100,0.02,0.02,0.08,0,5.89
9200,0.05,0.05,0.12,0,6.05
9300,0.02,0.02,0.07,0,6.15
9400,0.03,0.03,0.07,0,6.29
9500,0.03,0.03,0.08,0,7.59
9600,0.03,0.03,0.08,0,6.96
9700,0.04,0.03,0.09,0,6.63
9800,0.03,0.03,0.07,0,6.7
9900,0.04,0.05,0.13,0,6.85
10000,0.03,0.03,0.1,0,7.11
10100,0.03,0.03,0.08,0,7.36
10200,0.03,0.04,0.1,0,8.06
10300,0.03,0.03,0.1,0,7.6
10400,0.04,0.05,0.13,0,8.04
10500,0.07,0.03,0.09,0,8.19
10600,0.05,0.03,0.08,0,8.27
10700,0.03,0.04,0.09,0,9.72
10800,0.04,0.03,0.09,0,10.1
10900,0.03,0.03,0.08,0,10.41
11000,0.04,0.03,0.08,0,10.84
11100,0.05,0.03,0.08,0,11.25
11200,0.05,0.07,0.15,0,11.08
11300,0.03,0.04,0.11,0,10.95
11400,0.03,0.03,0.09,0,11.71
11500,0.03,0.03,0.1,0,11.38
11600,0.03,0.04,0.09,0,11.88
11700,0.04,0.03,0.09,0,12.1
11800,0.04,0.05,0.13,0,12.25
11900,0.04,0.04,0.1,0,12.46
12000,0.06,0.07,0.15,0,12.51
12100,0.03,0.03,0.09,0,12.39
12200,0.05,0.06,0.15,0,12.78
12300,0.04,0.05,0.11,0,13.35
12400,0.04,0.04,0.1,0,13.1
12500,0.04,0.04,0.1,0,13.37
12600,0.04,0.04,0.1,0,13.85
12700,0.04,0.05,0.15,0,14.83
12800,0.05,0.04,0.1,0,14.26
12900,0.04,0.04,0.1,0,14.13
13000,0.04,0.04,0.11,0,14.18
13100,0.04,0.04,0.1,0,14.82
13200,0.05,0.06,0.13,0,15.88
13300,0.04,0.06,0.14,0,15.56
13400,0.05,0.07,0.16,0,15.62
13500,0.05,0.04,0.12,0,16.36
13600,0.04,0.04,0.12,0,16.09
13700,0.08,0.05,0.11,0,16.31
13800,0.05,0.04,0.12,0,16.77
13900,0.04,0.04,0.1,0,16.36
14000,0.05,0.04,0.16,0,18.06
14100,0.05,0.05,0.13,0,17.58
14200,0.04,0.04,0.13,0,17.34
14300,0.05,0.05,0.14,0,17.41
14400,0.07,0.05,0.12,0,18.22
14500,0.08,0.04,0.12,0,18.73
14600,0.06,0.1,0.21,0,18.95
14700,0.07,0.05,0.19,0,17.31
14800,0.05,0.08,0.2,0,18.56
14900,0.05,0.07,0.17,0,18.55
